slope, srtm, tpi, twi, coarse, stream, hdist
0.23,0.67,0.6,0.55,0.69,0.78,0.197075
0.24,0.67,0.6,0.55,0.69,0.78,0.1970902
0.25,0.67,0.6,0.55,0.69,0.78,0.1971072
0.23,0.67,0.6,0.55,0.68,0.77,0.1971311
0.23,0.68,0.6,0.55,0.68,0.78,0.197141
0.24,0.67,0.6,0.56,0.68,0.77,0.1971417
0.23,0.67,0.6,0.56,0.7,0.78,0.1971466
0.24,0.67,0.6,0.55,0.68,0.77,0.197147
0.23,0.67,0.6,0.56,0.68,0.77,0.197148
0.23,0.67,0.59,0.55,0.69,0.78,0.1971483
0.23,0.67,0.6,0.55,0.7,0.78,0.1971542
0.24,0.68,0.6,0.55,0.68,0.78,0.1971557
0.25,0.67,0.6,0.56,0.68,0.77,0.1971593
0.24,0.67,0.6,0.56,0.7,0.78,0.1971613
0.24,0.67,0.59,0.55,0.69,0.78,0.1971627
0.25,0.67,0.6,0.55,0.68,0.77,0.1971646
0.24,0.67,0.6,0.55,0.7,0.78,0.1971689
0.25,0.68,0.6,0.55,0.68,0.78,0.1971721
0.25,0.67,0.6,0.56,0.7,0.78,0.1971778
0.25,0.67,0.59,0.55,0.69,0.78,0.1971789
0.25,0.67,0.6,0.55,0.7,0.78,0.1971855
0.25,0.67,0.6,0.57,0.7,0.78,0.1971902
0.24,0.67,0.6,0.57,0.7,0.78,0.1971966
0.23,0.67,0.6,0.57,0.69,0.77,0.197198
0.23,0.67,0.6,0.56,0.69,0.77,0.1972017
0.23,0.67,0.59,0.55,0.68,0.77,0.1972032
0.23,0.67,0.6,0.57,0.7,0.78,0.1972037
0.23,0.68,0.6,0.56,0.69,0.78,0.1972071
0.23,0.67,0.6,0.55,0.69,0.77,0.1972089
0.24,0.67,0.6,0.57,0.69,0.77,0.1972137
0.23,0.68,0.59,0.55,0.68,0.78,0.1972148
0.23,0.68,0.6,0.55,0.69,0.78,0.1972164
0.24,0.67,0.6,0.56,0.69,0.77,0.1972172
0.24,0.67,0.59,0.55,0.68,0.77,0.1972184
0.23,0.67,0.6,0.58,0.71,0.78,0.1972196
0.23,0.67,0.59,0.56,0.7,0.78,0.197221
0.24,0.68,0.6,0.56,0.69,0.78,0.1972215
0.23,0.67,0.6,0.57,0.71,0.78,0.1972224
0.24,0.67,0.6,0.55,0.69,0.77,0.1972245
0.23,0.67,0.58,0.55,0.69,0.78,0.1972261
0.23,0.67,0.6,0.56,0.71,0.78,0.1972282
0.23,0.67,0.59,0.55,0.7,0.78,0.1972287
0.24,0.68,0.59,0.55,0.68,0.78,0.1972289
0.24,0.68,0.6,0.55,0.69,0.78,0.1972306
0.24,0.68,0.6,0.57,0.69,0.78,0.197231
0.25,0.67,0.6,0.57,0.69,0.77,0.197231
0.25,0.67,0.6,0.56,0.69,0.78,0.1972322
0.25,0.68,0.6,0.57,0.69,0.78,0.1972325
0.24,0.67,0.6,0.58,0.71,0.78,0.1972342
0.25,0.67,0.6,0.56,0.69,0.77,0.1972346
0.24,0.67,0.59,0.56,0.7,0.78,0.1972351
0.25,0.67,0.59,0.55,0.68,0.77,0.1972352
0.24,0.67,0.6,0.57,0.71,0.78,0.1972369
0.23,0.67,0.6,0.55,0.71,0.78,0.1972377
0.25,0.68,0.6,0.56,0.69,0.78,0.1972377
0.23,0.68,0.6,0.57,0.69,0.78,0.1972387
0.24,0.67,0.6,0.56,0.69,0.78,0.1972387
0.24,0.67,0.58,0.55,0.69,0.78,0.1972397
0.25,0.67,0.6,0.55,0.69,0.77,0.1972419
0.24,0.67,0.59,0.55,0.7,0.78,0.1972426
0.24,0.67,0.6,0.56,0.71,0.78,0.1972426
0.25,0.68,0.59,0.55,0.68,0.78,0.1972446
0.23,0.67,0.6,0.56,0.69,0.78,0.1972461
0.25,0.67,0.59,0.56,0.68,0.77,0.1972464
0.25,0.68,0.6,0.55,0.69,0.78,0.1972468
0.25,0.67,0.6,0.58,0.71,0.78,0.1972506
0.25,0.67,0.59,0.56,0.7,0.78,0.1972508
0.24,0.67,0.6,0.55,0.71,0.78,0.1972521
0.25,0.67,0.6,0.57,0.71,0.78,0.1972531
0.24,0.67,0.59,0.56,0.68,0.77,0.1972533
0.25,0.67,0.58,0.55,0.69,0.78,0.1972552
0.25,0.67,0.59,0.55,0.7,0.78,0.1972585
0.25,0.67,0.6,0.56,0.71,0.78,0.1972588
0.23,0.67,0.6,0.57,0.68,0.76,0.1972592
0.23,0.67,0.59,0.56,0.68,0.77,0.1972609
0.23,0.67,0.6,0.56,0.68,0.76,0.1972627
0.23,0.68,0.6,0.57,0.68,0.77,0.1972627
0.25,0.68,0.6,0.56,0.68,0.78,0.1972654
0.23,0.68,0.6,0.56,0.68,0.77,0.1972674
0.25,0.67,0.6,0.55,0.71,0.78,0.1972685
0.23,0.67,0.6,0.55,0.68,0.76,0.1972699
0.23,0.67,0.59,0.57,0.69,0.77,0.1972707
0.23,0.69,0.6,0.57,0.68,0.78,0.1972724
0.24,0.68,0.6,0.56,0.68,0.78,0.1972724
0.23,0.67,0.6,0.58,0.7,0.77,0.1972741
0.23,0.68,0.6,0.58,0.7,0.78,0.1972745
0.23,0.67,0.59,0.56,0.69,0.77,0.1972749
0.24,0.67,0.6,0.57,0.68,0.76,0.1972754
0.23,0.68,0.6,0.55,0.68,0.77,0.1972765
0.23,0.67,0.6,0.57,0.7,0.77,0.1972768
0.24,0.68,0.6,0.57,0.68,0.77,0.1972779
0.23,0.68,0.6,0.57,0.7,0.78,0.1972783
0.23,0.69,0.6,0.56,0.68,0.78,0.1972786
0.24,0.67,0.6,0.56,0.68,0.76,0.1972787
0.25,0.67,0.6,0.55,0.68,0.78,0.1972794
0.23,0.67,0.58,0.55,0.68,0.77,0.1972797
0.23,0.68,0.6,0.56,0.68,0.78,0.1972802
0.23,0.67,0.6,0.56,0.7,0.77,0.1972823
0.23,0.68,0.59,0.56,0.69,0.78,0.1972823
0.23,0.67,0.59,0.55,0.69,0.77,0.1972824
0.24,0.68,0.6,0.56,0.68,0.77,0.1972825
0.23,0.68,0.6,0.56,0.7,0.78,0.1972853
0.24,0.67,0.59,0.57,0.69,0.77,0.1972859
0.24,0.69,0.6,0.57,0.68,0.78,0.197286
0.24,0.67,0.6,0.55,0.68,0.76,0.1972861
0.24,0.67,0.6,0.55,0.68,0.78,0.1972863
0.24,0.68,0.6,0.58,0.7,0.78,0.1972889
0.23,0.69,0.6,0.55,0.68,0.78,0.1972892
0.24,0.67,0.6,0.58,0.7,0.77,0.1972894
0.24,0.67,0.59,0.56,0.69,0.77,0.1972899
0.24,0.68,0.6,0.55,0.68,0.77,0.1972913
0.23,0.68,0.59,0.55,0.69,0.78,0.1972916
0.23,0.67,0.6,0.55,0.7,0.77,0.1972917
0.24,0.67,0.6,0.57,0.7,0.77,0.1972923
0.24,0.69,0.6,0.56,0.68,0.78,0.1972926
0.24,0.68,0.6,0.57,0.7,0.78,0.1972927
0.25,0.67,0.6,0.57,0.68,0.76,0.1972932
0.23,0.68,0.58,0.55,0.68,0.78,0.1972933
0.23,0.67,0.6,0.55,0.68,0.78,0.197294
0.24,0.67,0.58,0.55,0.68,0.77,0.1972942
0.23,0.67,0.59,0.58,0.71,0.78,0.1972946
0.25,0.68,0.6,0.57,0.68,0.77,0.1972947
0.25,0.67,0.6,0.58,0.68,0.76,0.197295
0.24,0.68,0.59,0.56,0.69,0.78,0.197296
0.23,0.68,0.6,0.55,0.7,0.78,0.1972962
0.25,0.67,0.6,0.56,0.68,0.76,0.1972967
0.24,0.67,0.59,0.55,0.69,0.77,0.1972972
0.24,0.67,0.6,0.56,0.7,0.77,0.1972975
0.23,0.67,0.59,0.57,0.71,0.78,0.1972977
0.24,0.68,0.6,0.56,0.7,0.78,0.1972994
0.25,0.68,0.6,0.56,0.68,0.77,0.1972995
0.23,0.67,0.58,0.56,0.7,0.78,0.1972998
0.24,0.67,0.6,0.58,0.68,0.76,0.1973008
0.23,0.67,0.6,0.59,0.72,0.78,0.1973009
0.25,0.69,0.6,0.57,0.68,0.78,0.1973016
0.25,0.67,0.59,0.57,0.69,0.77,0.1973024
0.25,0.67,0.59,0.57,0.7,0.78,0.1973024
0.23,0.67,0.6,0.58,0.72,0.78,0.197303
0.24,0.69,0.6,0.55,0.68,0.78,0.197303
0.23,0.67,0.59,0.56,0.71,0.78,0.1973039
0.25,0.67,0.6,0.55,0.68,0.76,0.1973042
0.25,0.68,0.6,0.58,0.7,0.78,0.1973048
0.24,0.68,0.59,0.55,0.69,0.78,0.1973053
0.25,0.67,0.59,0.56,0.69,0.77,0.1973063
0.25,0.67,0.6,0.58,0.7,0.77,0.1973064
0.24,0.67,0.6,0.55,0.7,0.77,0.1973068
0.24,0.68,0.58,0.55,0.68,0.78,0.1973068
0.23,0.67,0.6,0.58,0.68,0.76,0.1973072
0.23,0.67,0.6,0.57,0.72,0.78,0.1973074
0.23,0.67,0.58,0.55,0.7,0.78,0.1973079
0.25,0.69,0.6,0.56,0.68,0.78,0.1973079
0.25,0.68,0.6,0.55,0.68,0.77,0.1973082
0.25,0.68,0.6,0.57,0.7,0.78,0.1973084
0.24,0.67,0.59,0.58,0.71,0.78,0.1973087
0.25,0.67,0.6,0.57,0.7,0.77,0.1973093
0.24,0.67,0.59,0.57,0.7,0.78,0.1973099
0.24,0.68,0.6,0.55,0.7,0.78,0.1973099
0.25,0.67,0.58,0.55,0.68,0.77,0.1973103
0.25,0.68,0.59,0.56,0.69,0.78,0.1973115
0.24,0.67,0.59,0.57,0.71,0.78,0.1973118
0.24,0.67,0.58,0.56,0.7,0.78,0.1973134
0.23,0.67,0.59,0.55,0.71,0.78,0.1973136
0.25,0.67,0.59,0.55,0.69,0.77,0.1973138
0.25,0.67,0.6,0.56,0.7,0.77,0.1973145
0.23,0.67,0.6,0.56,0.72,0.78,0.1973147
0.24,0.67,0.6,0.59,0.72,0.78,0.1973152
0.25,0.68,0.6,0.56,0.7,0.78,0.1973153
0.24,0.67,0.6,0.58,0.72,0.78,0.1973172
0.24,0.67,0.59,0.56,0.71,0.78,0.1973176
0.23,0.67,0.59,0.57,0.7,0.78,0.1973179
0.25,0.69,0.6,0.55,0.68,0.78,0.1973185
0.25,0.68,0.59,0.55,0.69,0.78,0.1973208
0.24,0.67,0.57,0.55,0.69,0.78,0.1973212
0.24,0.67,0.58,0.55,0.7,0.78,0.1973213
0.24,0.67,0.6,0.57,0.72,0.78,0.1973214
0.25,0.68,0.58,0.55,0.68,0.78,0.1973218
0.25,0.67,0.6,0.55,0.7,0.77,0.1973239
0.25,0.67,0.59,0.58,0.71,0.78,0.1973243
0.25,0.68,0.6,0.55,0.7,0.78,0.1973259
0.23,0.67,0.6,0.55,0.72,0.78,0.1973262
0.24,0.67,0.59,0.55,0.71,0.78,0.1973272
0.25,0.67,0.59,0.57,0.71,0.78,0.1973274
0.25,0.67,0.58,0.56,0.7,0.78,0.1973287
0.24,0.67,0.6,0.56,0.72,0.78,0.1973288
0.23,0.67,0.57,0.55,0.69,0.78,0.197331
0.23,0.67,0.59,0.57,0.68,0.76,0.197331
0.25,0.67,0.6,0.59,0.72,0.78,0.1973311
0.25,0.67,0.6,0.58,0.72,0.78,0.1973328
0.25,0.67,0.59,0.56,0.71,0.78,0.1973332
0.23,0.67,0.6,0.58,0.69,0.76,0.197334
0.23,0.68,0.6,0.58,0.69,0.77,0.1973344
0.23,0.67,0.6,0.59,0.69,0.76,0.1973346
0.23,0.67,0.59,0.56,0.68,0.76,0.1973348
0.25,0.67,0.57,0.55,0.69,0.78,0.1973361
0.23,0.68,0.59,0.57,0.68,0.77,0.1973362
0.23,0.67,0.6,0.57,0.69,0.76,0.1973366
0.25,0.67,0.58,0.55,0.7,0.78,0.1973367
0.25,0.67,0.6,0.57,0.72,0.78,0.1973371
0.25,0.68,0.59,0.57,0.69,0.78,0.1973377
0.23,0.68,0.6,0.57,0.69,0.77,0.1973379
0.23,0.69,0.6,0.58,0.69,0.78,0.1973393
0.24,0.67,0.6,0.55,0.72,0.78,0.19734
0.23,0.68,0.59,0.56,0.68,0.77,0.1973416
0.23,0.67,0.6,0.56,0.69,0.76,0.1973418
0.23,0.67,0.59,0.55,0.68,0.76,0.197342
