slope, srtm, tpi, twi, coarse, stream, hdist
0.32,0.65,0.4,0.03,1,0.4,0.1571405
0.33,0.65,0.4,0.03,1,0.4,0.1571517
0.34,0.65,0.4,0.03,1,0.4,0.1571641
0.35,0.65,0.4,0.03,1,0.4,0.1571775
0.36,0.65,0.4,0.03,1,0.4,0.1571918
0.32,0.65,0.4,0.03,0.99,0.4,0.1571954
0.32,0.65,0.41,0.03,1,0.4,0.1572019
0.33,0.65,0.4,0.03,0.99,0.4,0.1572066
0.37,0.65,0.4,0.03,1,0.4,0.1572071
0.33,0.65,0.41,0.03,1,0.4,0.1572132
0.34,0.65,0.4,0.03,0.99,0.4,0.1572192
0.34,0.65,0.41,0.03,1,0.4,0.1572258
0.32,0.65,0.4,0.04,1,0.4,0.1572267
0.35,0.65,0.4,0.03,0.99,0.4,0.1572326
0.33,0.65,0.4,0.04,1,0.4,0.1572377
0.35,0.65,0.41,0.03,1,0.4,0.1572394
0.36,0.65,0.4,0.03,0.99,0.4,0.157247
0.34,0.65,0.4,0.04,1,0.4,0.1572502
0.32,0.65,0.4,0.03,0.98,0.4,0.1572513
0.36,0.65,0.41,0.03,1,0.4,0.1572541
0.32,0.65,0.41,0.03,0.99,0.4,0.1572572
0.37,0.65,0.4,0.03,0.99,0.4,0.1572624
0.33,0.65,0.4,0.03,0.98,0.4,0.1572627
0.35,0.65,0.4,0.04,1,0.4,0.1572635
0.32,0.65,0.42,0.03,1,0.4,0.1572644
0.33,0.65,0.41,0.03,0.99,0.4,0.1572688
0.37,0.65,0.41,0.03,1,0.4,0.1572696
0.34,0.65,0.4,0.03,0.98,0.4,0.1572753
0.33,0.65,0.42,0.03,1,0.4,0.157276
0.36,0.65,0.4,0.04,1,0.4,0.1572776
0.34,0.65,0.41,0.03,0.99,0.4,0.1572815
0.32,0.65,0.4,0.04,0.99,0.4,0.1572821
0.32,0.65,0.41,0.04,1,0.4,0.1572879
0.35,0.65,0.4,0.03,0.98,0.4,0.1572888
0.34,0.65,0.42,0.03,1,0.4,0.1572889
0.37,0.65,0.4,0.04,1,0.4,0.1572926
0.33,0.65,0.4,0.04,0.99,0.4,0.1572934
0.35,0.65,0.41,0.03,0.99,0.4,0.1572952
0.33,0.65,0.41,0.04,1,0.4,0.1572992
0.35,0.65,0.42,0.03,1,0.4,0.1573029
0.36,0.65,0.4,0.03,0.98,0.4,0.1573032
0.32,0.64,0.4,0.03,1,0.4,0.1573034
0.34,0.65,0.4,0.04,0.99,0.4,0.1573058
0.32,0.65,0.4,0.03,0.97,0.4,0.1573084
0.36,0.65,0.41,0.03,0.99,0.4,0.15731
0.34,0.65,0.41,0.04,1,0.4,0.1573118
0.32,0.65,0.41,0.03,0.98,0.4,0.1573138
0.32,0.65,0.4,0.05,1,0.4,0.157314
0.33,0.64,0.4,0.03,1,0.4,0.1573144
0.36,0.65,0.42,0.03,1,0.4,0.1573177
0.37,0.65,0.4,0.03,0.98,0.4,0.1573187
