slope, srtm, tpi, twi, coarse, stream, hdist
0.15,0.64,0.86,0.16,0.58,0.8,0.4986532
0.15,0.64,0.86,0.15,0.58,0.8,0.4987025
0.15,0.64,0.86,0.14,0.58,0.8,0.4987522
0.15,0.64,0.86,0.17,0.59,0.8,0.4987805
0.15,0.65,0.86,0.16,0.58,0.8,0.4987844
0.15,0.64,0.86,0.16,0.59,0.8,0.4988003
0.15,0.63,0.86,0.15,0.58,0.8,0.498802
0.15,0.64,0.86,0.13,0.58,0.8,0.4988026
0.15,0.65,0.86,0.17,0.58,0.8,0.4988427
0.15,0.64,0.86,0.15,0.59,0.8,0.49885
0.15,0.63,0.86,0.14,0.58,0.8,0.4988521
0.15,0.64,0.86,0.12,0.58,0.8,0.4988536
0.15,0.65,0.86,0.15,0.58,0.8,0.4988648
0.16,0.65,0.86,0.17,0.58,0.8,0.4988878
0.15,0.63,0.86,0.16,0.59,0.8,0.4988995
0.15,0.64,0.86,0.14,0.59,0.8,0.4989001
0.15,0.63,0.86,0.13,0.58,0.8,0.4989029
0.15,0.64,0.86,0.11,0.58,0.8,0.4989051
0.15,0.64,0.86,0.18,0.6,0.8,0.4989393
0.15,0.65,0.86,0.14,0.58,0.8,0.4989458
0.15,0.64,0.86,0.17,0.6,0.8,0.4989459
0.15,0.63,0.86,0.15,0.59,0.8,0.4989495
0.15,0.64,0.86,0.13,0.59,0.8,0.4989509
0.15,0.62,0.86,0.14,0.58,0.8,0.4989528
0.15,0.63,0.86,0.12,0.58,0.8,0.4989541
0.16,0.64,0.86,0.16,0.58,0.8,0.4989553
0.15,0.64,0.86,0.1,0.58,0.8,0.4989573
0.16,0.65,0.86,0.16,0.58,0.8,0.4989679
0.15,0.65,0.87,0.17,0.58,0.8,0.4989851
0.15,0.62,0.86,0.15,0.58,0.8,0.4989872
0.15,0.63,0.86,0.16,0.58,0.8,0.4989911
0.15,0.64,0.86,0.17,0.58,0.8,0.4989951
0.15,0.63,0.86,0.17,0.6,0.8,0.4989961
0.15,0.63,0.86,0.14,0.59,0.8,0.499
0.15,0.64,0.86,0.12,0.59,0.8,0.4990023
0.15,0.62,0.86,0.13,0.58,0.8,0.499004
0.16,0.64,0.86,0.15,0.58,0.8,0.4990054
0.15,0.63,0.86,0.11,0.58,0.8,0.499006
0.15,0.64,0.86,0.16,0.6,0.8,0.4990262
0.15,0.65,0.86,0.13,0.58,0.8,0.4990276
0.15,0.65,0.87,0.16,0.58,0.8,0.4990349
0.15,0.63,0.86,0.16,0.6,0.8,0.4990459
0.16,0.65,0.86,0.15,0.58,0.8,0.4990486
0.15,0.62,0.86,0.15,0.59,0.8,0.4990497
0.16,0.64,0.86,0.17,0.59,0.8,0.4990509
0.15,0.63,0.86,0.13,0.59,0.8,0.4990513
0.15,0.64,0.86,0.11,0.59,0.8,0.4990543
0.15,0.62,0.86,0.12,0.58,0.8,0.4990556
0.16,0.64,0.86,0.14,0.58,0.8,0.4990559
0.15,0.63,0.86,0.1,0.58,0.8,0.4990586
0.16,0.63,0.86,0.16,0.58,0.8,0.4990777
0.15,0.65,0.87,0.18,0.59,0.8,0.4990799
0.16,0.64,0.86,0.17,0.58,0.8,0.499081
0.15,0.65,0.86,0.17,0.59,0.8,0.499083
0.15,0.65,0.87,0.15,0.58,0.8,0.4990851
0.15,0.63,0.86,0.18,0.61,0.8,0.4990917
0.15,0.63,0.86,0.15,0.6,0.8,0.4990963
0.15,0.64,0.87,0.17,0.58,0.8,0.4990974
0.15,0.62,0.86,0.14,0.59,0.8,0.4991007
