slope, srtm, tpi, twi, coarse, stream, hdist
0.27,0.7,0.34,0,1,0.3,0.1527431
0.28,0.7,0.34,0,1,0.3,0.1527591
0.27,0.7,0.34,0,0.99,0.3,0.1527664
0.29,0.7,0.34,0,1,0.3,0.1527763
0.28,0.7,0.34,0,0.99,0.3,0.1527826
0.27,0.7,0.34,0,0.98,0.3,0.1527904
0.3,0.7,0.34,0,1,0.3,0.1527944
0.27,0.7,0.35,0,1,0.3,0.1527994
0.29,0.7,0.34,0,0.99,0.3,0.1528
0.28,0.7,0.34,0,0.98,0.3,0.152807
0.31,0.7,0.34,0,1,0.3,0.1528139
0.28,0.7,0.35,0,1,0.3,0.1528157
0.3,0.7,0.34,0,0.99,0.3,0.1528184
0.27,0.7,0.34,0.01,1,0.3,0.1528185
0.27,0.7,0.35,0,0.99,0.3,0.1528232
0.29,0.7,0.34,0,0.98,0.3,0.1528246
0.29,0.7,0.35,0,1,0.3,0.1528331
0.28,0.7,0.34,0.01,1,0.3,0.1528345
0.31,0.7,0.34,0,0.99,0.3,0.1528382
0.28,0.7,0.35,0,0.99,0.3,0.1528399
0.27,0.7,0.34,0.01,0.99,0.3,0.1528425
0.3,0.7,0.34,0,0.98,0.3,0.1528433
0.27,0.7,0.35,0,0.98,0.3,0.1528479
0.29,0.7,0.34,0.01,1,0.3,0.1528516
0.3,0.7,0.35,0,1,0.3,0.1528516
0.27,0.7,0.36,0,1,0.3,0.1528575
0.29,0.7,0.35,0,0.99,0.3,0.1528577
0.28,0.7,0.34,0.01,0.99,0.3,0.1528586
0.27,0.69,0.34,0,1,0.3,0.1528634
0.31,0.7,0.34,0,0.98,0.3,0.1528635
0.28,0.7,0.35,0,0.98,0.3,0.1528651
0.27,0.7,0.34,0.01,0.98,0.3,0.1528669
0.3,0.7,0.34,0.01,1,0.3,0.1528695
0.31,0.7,0.35,0,1,0.3,0.1528715
0.28,0.7,0.36,0,1,0.3,0.1528742
0.27,0.7,0.35,0.01,1,0.3,0.1528751
0.29,0.7,0.34,0.01,0.99,0.3,0.1528758
0.3,0.7,0.35,0,0.99,0.3,0.1528765
0.28,0.69,0.34,0,1,0.3,0.1528796
0.27,0.7,0.36,0,0.99,0.3,0.1528821
0.29,0.7,0.35,0,0.98,0.3,0.1528832
0.28,0.7,0.34,0.01,0.98,0.3,0.1528834
0.27,0.69,0.34,0,0.99,0.3,0.1528874
0.31,0.7,0.34,0.01,1,0.3,0.1528889
0.28,0.7,0.35,0.01,1,0.3,0.1528913
0.29,0.7,0.36,0,1,0.3,0.152892
0.3,0.7,0.34,0.01,0.99,0.3,0.152894
0.27,0.7,0.34,0.02,1,0.3,0.1528956
0.29,0.69,0.34,0,1,0.3,0.1528968
0.31,0.7,0.35,0,0.99,0.3,0.152897
0.28,0.7,0.36,0,0.99,0.3,0.1528992
0.27,0.7,0.35,0.01,0.99,0.3,0.1528995
0.29,0.7,0.34,0.01,0.98,0.3,0.1529008
0.3,0.7,0.35,0,0.98,0.3,0.1529024
0.28,0.69,0.34,0,0.99,0.3,0.1529039
0.27,0.7,0.36,0,0.98,0.3,0.1529077
0.29,0.7,0.35,0.01,1,0.3,0.1529086
0.3,0.7,0.36,0,1,0.3,0.1529111
0.28,0.7,0.34,0.02,1,0.3,0.1529113
0.27,0.69,0.34,0,0.98,0.3,0.152912
0.31,0.7,0.34,0.01,0.99,0.3,0.1529139
0.3,0.69,0.34,0,1,0.3,0.1529151
0.28,0.7,0.35,0.01,0.99,0.3,0.152916
0.27,0.7,0.37,0,1,0.3,0.1529171
0.29,0.7,0.36,0,0.99,0.3,0.1529174
0.3,0.7,0.34,0.01,0.98,0.3,0.1529194
0.27,0.7,0.34,0.02,0.99,0.3,0.1529199
0.27,0.69,0.35,0,1,0.3,0.1529204
0.29,0.69,0.34,0,0.99,0.3,0.1529212
0.31,0.7,0.35,0,0.98,0.3,0.1529233
0.27,0.7,0.35,0.01,0.98,0.3,0.1529247
0.28,0.7,0.36,0,0.98,0.3,0.1529249
0.3,0.7,0.35,0.01,1,0.3,0.1529269
0.29,0.7,0.34,0.02,1,0.3,0.1529282
0.28,0.69,0.34,0,0.98,0.3,0.1529288
0.31,0.7,0.36,0,1,0.3,0.1529315
0.27,0.7,0.36,0.01,1,0.3,0.1529332
0.29,0.7,0.35,0.01,0.99,0.3,0.1529335
0.28,0.7,0.37,0,1,0.3,0.1529342
0.31,0.69,0.34,0,1,0.3,0.1529349
0.28,0.7,0.34,0.02,0.99,0.3,0.1529358
0.3,0.7,0.36,0,0.99,0.3,0.1529367
0.28,0.69,0.35,0,1,0.3,0.152937
0.27,0.69,0.34,0.01,1,0.3,0.1529394
0.3,0.69,0.34,0,0.99,0.3,0.1529397
