slope, srtm, tpi, twi, coarse, stream, hdist
0.22,1,0.23,0,0.9,0,0.1452709
0.22,1,0.23,0.01,0.9,0,0.1452711
0.21,1,0.23,0.01,0.9,0,0.1452712
0.21,1,0.23,0,0.9,0,0.1452713
0.23,1,0.23,0,0.9,0,0.1452725
0.23,1,0.23,0.01,0.9,0,0.1452731
0.22,1,0.22,0.01,0.9,0,0.1452734
0.2,1,0.23,0.01,0.9,0,0.1452737
0.21,1,0.23,0.02,0.9,0,0.1452739
0.22,1,0.23,0.02,0.9,0,0.145274
0.22,1,0.22,0,0.9,0,0.1452741
0.2,1,0.23,0,0.9,0,0.1452742
0.23,1,0.22,0.01,0.9,0,0.1452742
0.23,1,0.22,0,0.9,0,0.1452744
0.21,1,0.22,0.01,0.9,0,0.1452749
0.22,1,0.22,0.02,0.9,0,0.1452757
0.2,1,0.23,0.02,0.9,0,0.1452758
0.21,1,0.22,0,0.9,0,0.1452762
0.21,1,0.22,0.02,0.9,0,0.1452765
0.23,1,0.23,0.02,0.9,0,0.1452766
0.23,1,0.22,0.02,0.9,0,0.1452772
0.23,1,0.21,0.01,0.9,0,0.145278
0.19,1,0.23,0.01,0.9,0,0.1452783
0.22,1,0.21,0.01,0.9,0,0.1452785
0.2,1,0.22,0.01,0.9,0,0.1452786
0.23,1,0.21,0,0.9,0,0.1452793
0.19,1,0.23,0,0.9,0,0.1452795
0.19,1,0.23,0.02,0.9,0,0.1452798
0.2,1,0.22,0.02,0.9,0,0.1452798
0.22,1,0.21,0.02,0.9,0,0.1452798
0.21,1,0.23,0.03,0.9,0,0.1452801
0.23,1,0.21,0.02,0.9,0,0.1452801
0.2,1,0.22,0,0.9,0,0.1452806
0.22,1,0.21,0,0.9,0,0.1452806
0.22,1,0.23,0.03,0.9,0,0.1452808
0.2,1,0.23,0.03,0.9,0,0.1452812
0.21,1,0.21,0.01,0.9,0,0.1452812
0.22,1,0.22,0.03,0.9,0,0.1452815
0.21,1,0.22,0.03,0.9,0,0.1452819
0.21,1,0.21,0.02,0.9,0,0.145282
0.23,1,0.22,0.03,0.9,0,0.1452833
0.23,1,0.23,0.03,0.9,0,0.1452838
0.21,1,0.21,0,0.9,0,0.1452839
0.2,1,0.22,0.03,0.9,0,0.1452841
0.19,1,0.22,0.01,0.9,0,0.1452842
0.21,0.99,0.23,0,0.9,0,0.1452846
0.22,1,0.21,0.03,0.9,0,0.1452846
0.18,1,0.23,0.01,0.9,0,0.1452847
0.22,0.99,0.23,0,0.9,0,0.1452848
0.19,1,0.23,0.03,0.9,0,0.1452849
0.19,1,0.22,0.02,0.9,0,0.145285
0.21,0.99,0.23,0.01,0.9,0,0.145285
0.23,1,0.2,0.01,0.9,0,0.145285
0.23,1,0.21,0.03,0.9,0,0.1452853
0.22,0.99,0.23,0.01,0.9,0,0.1452855
0.18,1,0.23,0.02,0.9,0,0.1452858
0.21,1,0.21,0.03,0.9,0,0.1452858
0.2,1,0.21,0.01,0.9,0,0.145286
0.23,1,0.2,0.02,0.9,0,0.145286
0.2,1,0.21,0.02,0.9,0,0.1452863
0.22,1,0.23,0,0.91,0,0.1452865
0.22,1,0.2,0.01,0.9,0,0.1452866
0.18,1,0.23,0,0.9,0,0.1452868
0.2,0.99,0.23,0.01,0.9,0,0.1452868
0.22,1,0.2,0.02,0.9,0,0.1452868
0.22,1,0.23,0.01,0.91,0,0.1452868
0.2,0.99,0.23,0,0.9,0,0.1452869
0.19,1,0.22,0,0.9,0,0.145287
0.22,0.99,0.22,0.01,0.9,0,0.145287
0.23,0.99,0.23,0,0.9,0,0.145287
0.21,1,0.23,0,0.91,0,0.1452871
0.21,1,0.23,0.01,0.91,0,0.1452872
0.22,0.99,0.22,0,0.9,0,0.1452874
0.23,1,0.2,0,0.9,0,0.1452875
0.23,1,0.23,0,0.91,0,0.1452878
0.21,0.99,0.22,0.01,0.9,0,0.1452879
0.23,0.99,0.23,0.01,0.9,0,0.1452879
0.21,0.99,0.23,0.02,0.9,0,0.1452882
0.23,0.99,0.22,0,0.9,0,0.1452883
0.23,0.99,0.22,0.01,0.9,0,0.1452884
0.23,1,0.23,0.01,0.91,0,0.1452885
0.19,1,0.22,0.03,0.9,0,0.1452887
0.21,0.99,0.22,0,0.9,0,0.1452889
0.22,0.99,0.23,0.02,0.9,0,0.1452889
0.2,1,0.21,0,0.9,0,0.1452892
0.22,1,0.22,0.01,0.91,0,0.1452893
0.21,1,0.23,0.04,0.9,0,0.1452894
0.2,0.99,0.23,0.02,0.9,0,0.1452895
0.2,1,0.21,0.03,0.9,0,0.1452896
0.22,0.99,0.22,0.02,0.9,0,0.1452896
0.2,1,0.23,0.01,0.91,0,0.1452897
0.22,1,0.2,0,0.9,0,0.1452898
0.22,1,0.23,0.02,0.91,0,0.1452898
0.23,1,0.22,0.01,0.91,0,0.1452898
0.21,1,0.2,0.02,0.9,0,0.1452899
0.23,1,0.22,0,0.91,0,0.1452899
0.21,1,0.23,0.02,0.91,0,0.14529
0.22,1,0.22,0,0.91,0,0.14529
0.2,1,0.23,0,0.91,0,0.1452901
0.21,0.99,0.22,0.02,0.9,0,0.1452901
0.23,1,0.2,0.03,0.9,0,0.1452901
0.2,1,0.23,0.04,0.9,0,0.1452902
0.21,1,0.22,0.04,0.9,0,0.1452903
0.22,1,0.22,0.04,0.9,0,0.1452903
0.21,1,0.2,0.01,0.9,0,0.1452904
0.18,1,0.23,0.03,0.9,0,0.1452905
0.22,1,0.2,0.03,0.9,0,0.1452905
0.19,0.99,0.23,0.01,0.9,0,0.1452906
0.22,1,0.23,0.04,0.9,0,0.1452908
0.2,0.99,0.22,0.01,0.9,0,0.145291
0.21,1,0.22,0.01,0.91,0,0.145291
0.19,0.99,0.23,0,0.9,0,0.1452914
0.22,0.99,0.21,0.01,0.9,0,0.1452914
0.22,1,0.22,0.02,0.91,0,0.1452915
0.23,0.99,0.21,0.01,0.9,0,0.1452915
0.23,0.99,0.22,0.02,0.9,0,0.1452916
0.18,1,0.22,0.01,0.9,0,0.1452918
0.2,1,0.22,0.04,0.9,0,0.1452919
0.23,0.99,0.23,0.02,0.9,0,0.1452919
0.18,1,0.22,0.02,0.9,0,0.145292
0.2,1,0.23,0.02,0.91,0,0.145292
0.23,1,0.23,0.02,0.91,0,0.1452922
0.21,1,0.22,0,0.91,0,0.1452923
0.19,1,0.21,0.02,0.9,0,0.1452924
0.22,1,0.21,0.04,0.9,0,0.1452924
0.23,0.99,0.21,0,0.9,0,0.1452924
0.2,0.99,0.22,0,0.9,0,0.1452925
0.2,0.99,0.22,0.02,0.9,0,0.1452927
0.21,1,0.22,0.02,0.91,0,0.1452927
0.23,1,0.22,0.02,0.91,0,0.1452927
0.17,1,0.23,0.01,0.9,0,0.1452928
0.19,1,0.21,0.01,0.9,0,0.1452928
0.23,1,0.22,0.04,0.9,0,0.1452928
0.21,1,0.2,0.03,0.9,0,0.1452929
0.19,0.99,0.23,0.02,0.9,0,0.145293
0.19,1,0.23,0.04,0.9,0,0.1452931
0.22,0.99,0.21,0,0.9,0,0.1452931
0.22,0.99,0.21,0.02,0.9,0,0.1452931
0.21,1,0.21,0.04,0.9,0,0.1452932
0.17,1,0.23,0.02,0.9,0,0.1452937
0.21,0.99,0.21,0.01,0.9,0,0.1452937
0.23,1,0.21,0.04,0.9,0,0.1452938
0.23,0.99,0.21,0.02,0.9,0,0.1452939
0.23,1,0.21,0.01,0.91,0,0.1452939
0.23,1,0.23,0.04,0.9,0,0.1452941
0.21,1,0.2,0,0.9,0,0.1452942
0.19,1,0.23,0.01,0.91,0,0.1452943
0.22,1,0.21,0.01,0.91,0,0.1452945
0.23,1,0.19,0.02,0.9,0,0.1452945
0.23,1,0.19,0.01,0.9,0,0.1452946
0.2,1,0.22,0.01,0.91,0,0.1452947
0.21,0.99,0.21,0.02,0.9,0,0.1452947
0.2,1,0.2,0.02,0.9,0,0.1452949
0.21,0.99,0.23,0.03,0.9,0,0.1452949
0.19,1,0.21,0.03,0.9,0,0.1452952
0.23,1,0.21,0,0.91,0,0.1452952
0.18,1,0.22,0,0.9,0,0.1452954
0.18,1,0.22,0.03,0.9,0,0.1452954
0.19,1,0.23,0,0.91,0,0.1452955
0.2,0.99,0.23,0.03,0.9,0,0.1452956
0.17,1,0.23,0,0.9,0,0.1452958
0.22,1,0.21,0.02,0.91,0,0.1452958
0.2,1,0.2,0.01,0.9,0,0.1452959
0.21,0.99,0.21,0,0.9,0,0.1452959
0.23,1,0.21,0.02,0.91,0,0.1452959
0.19,1,0.22,0.04,0.9,0,0.145296
0.2,1,0.22,0.02,0.91,0,0.145296
0.21,0.99,0.22,0.03,0.9,0,0.145296
0.22,0.99,0.22,0.03,0.9,0,0.145296
0.19,0.99,0.22,0.01,0.9,0,0.1452961
0.19,1,0.23,0.02,0.91,0,0.1452961
0.2,1,0.21,0.04,0.9,0,0.1452962
0.22,0.99,0.23,0.03,0.9,0,0.1452962
0.21,1,0.23,0.03,0.91,0,0.1452963
0.2,1,0.22,0,0.91,0,0.1452965
0.22,1,0.19,0.02,0.9,0,0.1452966
0.22,1,0.21,0,0.91,0,0.1452966
0.22,1,0.23,0.03,0.91,0,0.1452967
0.18,0.99,0.23,0.01,0.9,0,0.1452968
0.19,1,0.21,0,0.9,0,0.1452969
0.22,1,0.2,0.04,0.9,0,0.1452969
0.23,1,0.2,0.04,0.9,0,0.1452971
0.22,1,0.19,0.01,0.9,0,0.1452972
0.19,0.99,0.22,0.02,0.9,0,0.1452973
0.2,1,0.2,0.03,0.9,0,0.1452973
0.22,1,0.22,0.03,0.91,0,0.1452974
0.23,1,0.19,0.03,0.9,0,0.1452974
0.21,1,0.21,0.01,0.91,0,0.1452975
0.2,1,0.23,0.03,0.91,0,0.1452977
0.2,0.99,0.22,0.03,0.9,0,0.1452978
0.23,1,0.19,0,0.9,0,0.1452978
0.2,0.99,0.21,0.01,0.9,0,0.1452979
0.17,1,0.23,0.03,0.9,0,0.145298
0.18,1,0.23,0.04,0.9,0,0.145298
0.23,0.99,0.2,0.01,0.9,0,0.145298
0.21,1,0.22,0.03,0.91,0,0.1452981
0.19,0.99,0.22,0,0.9,0,0.1452982
0.21,1,0.21,0.02,0.91,0,0.1452982
0.18,0.99,0.23,0,0.9,0,0.1452984
0.18,0.99,0.23,0.02,0.9,0,0.1452985
0.2,0.99,0.21,0.02,0.9,0,0.1452985
0.22,0.99,0.21,0.03,0.9,0,0.1452985
0.23,0.99,0.22,0.03,0.9,0,0.1452985
0.19,0.99,0.23,0.03,0.9,0,0.1452986
0.22,1,0.19,0.03,0.9,0,0.1452987
0.21,1,0.2,0.04,0.9,0,0.1452989
0.22,0.99,0.2,0.01,0.9,0,0.1452989
0.21,0.99,0.21,0.03,0.9,0,0.1452992
0.23,0.99,0.2,0.02,0.9,0,0.1452992
0.23,1,0.22,0.03,0.91,0,0.1452992
0.23,1,0.23,0.03,0.91,0,0.1452994
0.22,0.99,0.2,0.02,0.9,0,0.1452995
0.23,0.99,0.23,0.03,0.9,0,0.1452997
0.23,0.99,0.21,0.03,0.9,0,0.1452998
0.21,1,0.21,0,0.91,0,0.1453001
0.23,0.99,0.2,0,0.9,0,0.1453001
0.17,1,0.22,0.02,0.9,0,0.1453004
0.18,1,0.21,0.02,0.9,0,0.1453004
0.19,1,0.22,0.01,0.91,0,0.1453004
0.21,1,0.19,0.02,0.9,0,0.1453004
0.2,0.99,0.21,0,0.9,0,0.1453006
0.2,1,0.2,0,0.9,0,0.1453006
0.2,1,0.22,0.03,0.91,0,0.1453006
0.22,1,0.21,0.03,0.91,0,0.1453006
0.17,1,0.22,0.01,0.9,0,0.1453007
0.22,0.99,0.23,0,0.91,0,0.1453007
0.21,0.99,0.23,0,0.91,0,0.1453008
0.18,1,0.23,0.01,0.91,0,0.1453009
0.23,1,0.2,0.01,0.91,0,0.1453011
0.19,1,0.22,0.02,0.91,0,0.1453012
0.23,1,0.21,0.03,0.91,0,0.1453012
0.18,1,0.21,0.01,0.9,0,0.1453013
0.19,1,0.21,0.04,0.9,0,0.1453013
0.19,1,0.23,0.03,0.91,0,0.1453013
0.21,0.99,0.23,0.01,0.91,0,0.1453014
0.22,1,0.19,0,0.9,0,0.1453014
0.21,1,0.19,0.01,0.9,0,0.1453017
0.22,0.99,0.23,0.01,0.91,0,0.1453017
0.19,0.99,0.22,0.03,0.9,0,0.1453018
0.19,1,0.2,0.02,0.9,0,0.1453018
0.22,0.99,0.2,0,0.9,0,0.1453019
0.21,0.99,0.2,0.02,0.9,0,0.145302
0.21,1,0.22,0.05,0.9,0,0.145302
0.23,1,0.2,0.02,0.91,0,0.145302
0.18,1,0.22,0.04,0.9,0,0.1453021
0.18,1,0.23,0.02,0.91,0,0.1453022
0.21,0.99,0.2,0.01,0.9,0,0.1453022
0.21,1,0.19,0.03,0.9,0,0.1453022
0.21,1,0.21,0.03,0.91,0,0.1453022
0.21,1,0.23,0.05,0.9,0,0.1453022
0.2,0.99,0.21,0.03,0.9,0,0.1453023
0.2,1,0.21,0.01,0.91,0,0.1453023
0.2,1,0.23,0.05,0.9,0,0.1453023
0.22,1,0.23,0,0.92,0,0.1453023
0.2,1,0.21,0.02,0.91,0,0.1453026
0.18,1,0.21,0.03,0.9,0,0.1453027
0.22,1,0.22,0.05,0.9,0,0.1453027
0.23,0.99,0.23,0,0.91,0,0.1453027
0.22,1,0.2,0.01,0.91,0,0.1453029
0.22,1,0.2,0.02,0.91,0,0.1453029
0.22,1,0.23,0.01,0.92,0,0.1453029
0.18,1,0.23,0,0.91,0,0.145303
0.19,1,0.22,0,0.91,0,0.145303
0.2,1,0.2,0.04,0.9,0,0.145303
0.2,0.99,0.23,0,0.91,0,0.1453031
0.2,1,0.22,0.05,0.9,0,0.1453031
0.23,1,0.19,0.04,0.9,0,0.1453031
0.2,0.99,0.23,0.01,0.91,0,0.1453032
0.18,0.99,0.22,0.01,0.9,0,0.1453033
0.21,1,0.23,0,0.92,0,0.1453033
0.22,0.99,0.22,0.01,0.91,0,0.1453033
0.21,1,0.23,0.01,0.92,0,0.1453034
0.23,1,0.23,0,0.92,0,0.1453034
0.17,1,0.22,0.03,0.9,0,0.1453036
0.18,0.99,0.23,0.03,0.9,0,0.1453036
0.19,1,0.2,0.03,0.9,0,0.1453036
0.22,0.99,0.2,0.03,0.9,0,0.1453036
0.23,0.99,0.2,0.03,0.9,0,0.1453036
0.23,1,0.2,0,0.91,0,0.1453036
0.19,1,0.2,0.01,0.9,0,0.1453037
0.22,0.99,0.22,0,0.91,0,0.1453037
0.23,0.99,0.23,0.01,0.91,0,0.1453038
0.22,1,0.21,0.05,0.9,0,0.1453039
0.18,0.99,0.22,0.02,0.9,0,0.145304
0.22,1,0.19,0.04,0.9,0,0.145304
0.19,0.99,0.21,0.01,0.9,0,0.1453041
0.22,1,0.23,0.05,0.9,0,0.1453041
0.19,0.99,0.21,0.02,0.9,0,0.1453042
0.21,1,0.21,0.05,0.9,0,0.1453042
0.23,0.99,0.22,0,0.91,0,0.1453042
0.21,0.99,0.22,0.01,0.91,0,0.1453044
0.23,0.99,0.22,0.01,0.91,0,0.1453044
0.23,1,0.23,0.01,0.92,0,0.1453044
0.19,1,0.23,0.05,0.9,0,0.1453045
0.17,0.99,0.23,0.01,0.9,0,0.1453046
0.21,0.99,0.23,0.04,0.9,0,0.1453046
0.21,0.99,0.22,0.04,0.9,0,0.1453047
0.21,0.99,0.23,0.02,0.91,0,0.1453048
0.17,1,0.23,0.04,0.9,0,0.145305
0.2,0.99,0.23,0.04,0.9,0,0.1453051
