slope, srtm, tpi, twi, coarse, stream, hdist
0.24,0.5,0.55,0.12,0.9,0.58,0.1703273
0.23,0.5,0.55,0.12,0.9,0.58,0.1703713
0.24,0.5,0.56,0.12,0.9,0.58,0.1703798
0.22,0.5,0.55,0.12,0.9,0.58,0.170417
0.23,0.5,0.56,0.12,0.9,0.58,0.1704237
0.24,0.5,0.55,0.13,0.9,0.58,0.170428
0.24,0.5,0.57,0.12,0.9,0.58,0.1704331
0.21,0.5,0.55,0.12,0.9,0.58,0.1704646
0.22,0.5,0.56,0.12,0.9,0.58,0.1704689
0.23,0.5,0.55,0.13,0.9,0.58,0.1704725
0.23,0.5,0.57,0.12,0.9,0.58,0.170477
0.24,0.5,0.56,0.13,0.9,0.58,0.1704802
0.24,0.5,0.55,0.12,0.89,0.58,0.1704848
0.24,0.5,0.58,0.12,0.9,0.58,0.1704871
0.2,0.5,0.55,0.12,0.9,0.58,0.1705138
0.21,0.5,0.56,0.12,0.9,0.58,0.1705162
0.22,0.5,0.55,0.13,0.9,0.58,0.1705184
0.22,0.5,0.57,0.12,0.9,0.58,0.1705221
0.23,0.5,0.56,0.13,0.9,0.58,0.1705245
0.23,0.5,0.55,0.12,0.89,0.58,0.1705297
0.24,0.5,0.55,0.14,0.9,0.58,0.1705297
0.23,0.5,0.58,0.12,0.9,0.58,0.1705309
0.24,0.5,0.57,0.13,0.9,0.58,0.1705331
0.24,0.5,0.56,0.12,0.89,0.58,0.1705374
0.24,0.5,0.59,0.12,0.9,0.58,0.1705418
0.2,0.5,0.56,0.12,0.9,0.58,0.1705652
0.21,0.5,0.55,0.13,0.9,0.58,0.1705658
0.21,0.5,0.57,0.12,0.9,0.58,0.170569
0.22,0.5,0.56,0.13,0.9,0.58,0.1705699
0.23,0.5,0.55,0.14,0.9,0.58,0.1705748
0.22,0.5,0.55,0.12,0.89,0.58,0.1705758
0.22,0.5,0.58,0.12,0.9,0.58,0.1705759
0.23,0.5,0.57,0.13,0.9,0.58,0.1705772
0.24,0.5,0.56,0.14,0.9,0.58,0.1705814
0.23,0.5,0.56,0.12,0.89,0.58,0.170582
0.23,0.5,0.59,0.12,0.9,0.58,0.1705853
0.24,0.5,0.55,0.13,0.89,0.58,0.170586
0.24,0.5,0.58,0.13,0.9,0.58,0.1705868
0.24,0.5,0.57,0.12,0.89,0.58,0.1705907
0.24,0.5,0.6,0.12,0.9,0.58,0.1705967
0.2,0.5,0.55,0.13,0.9,0.58,0.1706155
0.21,0.5,0.56,0.13,0.9,0.58,0.1706171
0.2,0.5,0.57,0.12,0.9,0.58,0.1706177
0.22,0.5,0.55,0.14,0.9,0.58,0.1706209
0.22,0.5,0.57,0.13,0.9,0.58,0.1706226
0.21,0.5,0.58,0.12,0.9,0.58,0.1706227
0.21,0.5,0.55,0.12,0.89,0.58,0.1706239
0.24,0.49,0.55,0.12,0.9,0.58,0.1706255
0.23,0.5,0.56,0.14,0.9,0.58,0.170626
0.22,0.5,0.56,0.12,0.89,0.58,0.1706279
0.22,0.5,0.59,0.12,0.9,0.58,0.1706304
0.23,0.5,0.58,0.13,0.9,0.58,0.1706307
0.23,0.5,0.55,0.13,0.89,0.58,0.1706312
0.24,0.5,0.55,0.15,0.9,0.58,0.1706323
0.24,0.5,0.57,0.14,0.9,0.58,0.1706338
0.23,0.5,0.57,0.12,0.89,0.58,0.1706351
0.24,0.5,0.56,0.13,0.89,0.58,0.1706382
0.23,0.5,0.6,0.12,0.9,0.58,0.1706402
0.24,0.5,0.59,0.13,0.9,0.58,0.1706408
0.24,0.5,0.55,0.12,0.88,0.58,0.1706446
0.24,0.5,0.58,0.12,0.89,0.58,0.1706447
0.2,0.5,0.56,0.13,0.9,0.58,0.1706663
0.21,0.5,0.55,0.14,0.9,0.58,0.1706688
0.21,0.5,0.57,0.13,0.9,0.58,0.1706696
0.2,0.5,0.58,0.12,0.9,0.58,0.1706709
0.23,0.49,0.55,0.12,0.9,0.58,0.170671
0.22,0.5,0.56,0.14,0.9,0.58,0.170672
0.2,0.5,0.55,0.12,0.89,0.58,0.1706739
0.21,0.5,0.56,0.12,0.89,0.58,0.1706759
0.22,0.5,0.58,0.13,0.9,0.58,0.1706759
0.21,0.5,0.59,0.12,0.9,0.58,0.1706768
0.23,0.5,0.55,0.15,0.9,0.58,0.1706775
0.22,0.5,0.55,0.13,0.89,0.58,0.1706776
0.24,0.49,0.56,0.12,0.9,0.58,0.1706776
0.23,0.5,0.57,0.14,0.9,0.58,0.1706782
0.22,0.5,0.57,0.12,0.89,0.58,0.1706811
0.23,0.5,0.56,0.13,0.89,0.58,0.1706832
0.24,0.5,0.56,0.15,0.9,0.58,0.1706834
0.23,0.5,0.59,0.13,0.9,0.58,0.1706846
0.22,0.5,0.6,0.12,0.9,0.58,0.1706853
0.24,0.5,0.58,0.14,0.9,0.58,0.170687
0.24,0.5,0.55,0.14,0.89,0.58,0.1706879
0.23,0.5,0.58,0.12,0.89,0.58,0.170689
0.23,0.5,0.55,0.12,0.88,0.58,0.17069
0.24,0.5,0.57,0.13,0.89,0.58,0.170691
0.24,0.5,0.6,0.13,0.9,0.58,0.1706952
0.24,0.5,0.56,0.12,0.88,0.58,0.170697
0.24,0.5,0.59,0.12,0.89,0.58,0.1706993
0.22,0.49,0.55,0.12,0.9,0.58,0.1707178
0.2,0.5,0.57,0.13,0.9,0.58,0.1707182
0.2,0.5,0.55,0.14,0.9,0.58,0.1707185
0.21,0.5,0.56,0.14,0.9,0.58,0.1707196
0.21,0.5,0.58,0.13,0.9,0.58,0.1707227
0.23,0.49,0.56,0.12,0.9,0.58,0.1707229
0.22,0.5,0.57,0.14,0.9,0.58,0.1707239
0.22,0.5,0.55,0.15,0.9,0.58,0.1707243
0.2,0.5,0.59,0.12,0.9,0.58,0.1707246
0.2,0.5,0.56,0.12,0.89,0.58,0.1707256
0.21,0.5,0.55,0.13,0.89,0.58,0.1707257
0.24,0.49,0.55,0.13,0.9,0.58,0.1707266
0.23,0.5,0.56,0.15,0.9,0.58,0.1707284
0.21,0.5,0.57,0.12,0.89,0.58,0.1707287
0.22,0.5,0.56,0.13,0.89,0.58,0.1707294
0.22,0.5,0.59,0.13,0.9,0.58,0.1707298
0.24,0.49,0.57,0.12,0.9,0.58,0.1707306
0.23,0.5,0.58,0.14,0.9,0.58,0.1707312
0.21,0.5,0.6,0.12,0.9,0.58,0.1707316
0.23,0.5,0.55,0.14,0.89,0.58,0.1707336
0.22,0.5,0.58,0.12,0.89,0.58,0.1707349
0.24,0.5,0.57,0.15,0.9,0.58,0.1707353
0.23,0.5,0.57,0.13,0.89,0.58,0.1707357
0.22,0.5,0.55,0.12,0.88,0.58,0.170737
0.23,0.5,0.6,0.13,0.9,0.58,0.170739
0.24,0.5,0.56,0.14,0.89,0.58,0.1707397
0.24,0.5,0.59,0.14,0.9,0.58,0.1707406
0.23,0.5,0.56,0.12,0.88,0.58,0.1707423
0.23,0.5,0.59,0.12,0.89,0.58,0.1707435
0.24,0.5,0.58,0.13,0.89,0.58,0.1707447
0.24,0.5,0.55,0.13,0.88,0.58,0.170746
0.24,0.5,0.57,0.12,0.88,0.58,0.1707503
0.24,0.5,0.6,0.12,0.89,0.58,0.1707542
0.21,0.49,0.55,0.12,0.9,0.58,0.1707665
0.2,0.5,0.56,0.14,0.9,0.58,0.1707689
0.22,0.49,0.56,0.12,0.9,0.58,0.1707695
0.2,0.5,0.58,0.13,0.9,0.58,0.1707709
0.21,0.5,0.57,0.14,0.9,0.58,0.1707712
