slope, srtm, tpi, twi, coarse, stream, hdist
0.29,0.19,0.72,0.16,1,0.94,0.4774196
0.3,0.19,0.72,0.16,1,0.94,0.477438
0.3,0.18,0.71,0.16,0.99,0.93,0.477491
0.28,0.19,0.72,0.16,1,0.94,0.4774942
0.3,0.19,0.71,0.17,0.99,0.93,0.477509
0.28,0.19,0.71,0.16,0.99,0.93,0.4775204
0.3,0.18,0.72,0.16,1,0.94,0.477526
0.27,0.2,0.72,0.18,0.99,0.93,0.4775301
0.29,0.19,0.71,0.16,0.99,0.93,0.477537
0.27,0.19,0.71,0.16,0.99,0.93,0.4775373
0.3,0.19,0.72,0.17,1,0.94,0.4775431
0.25,0.2,0.73,0.17,1,0.94,0.4775473
0.25,0.19,0.72,0.16,0.99,0.93,0.4775475
0.28,0.2,0.72,0.17,1,0.94,0.4775497
0.3,0.19,0.71,0.16,0.99,0.93,0.4775558
0.25,0.2,0.72,0.17,0.99,0.93,0.4775635
0.3,0.2,0.72,0.18,1,0.94,0.4775635
0.29,0.2,0.72,0.17,1,0.94,0.4775654
0.27,0.19,0.72,0.16,1,0.94,0.4775724
0.3,0.19,0.71,0.16,1,0.94,0.4775724
0.29,0.18,0.71,0.16,0.99,0.93,0.4775727
0.26,0.2,0.72,0.17,0.99,0.93,0.4775741
0.27,0.2,0.72,0.17,1,0.94,0.4775796
0.3,0.2,0.72,0.17,1,0.94,0.4775835
0.26,0.19,0.72,0.17,0.99,0.93,0.4775865
0.27,0.2,0.72,0.17,0.99,0.93,0.4775867
0.29,0.19,0.71,0.17,0.99,0.93,0.4775903
0.28,0.2,0.72,0.18,0.99,0.93,0.4775907
0.25,0.2,0.72,0.16,1,0.94,0.4775916
0.26,0.2,0.72,0.16,1,0.94,0.4776013
0.29,0.18,0.72,0.16,1,0.94,0.4776063
0.26,0.2,0.72,0.18,0.99,0.93,0.4776071
0.29,0.2,0.71,0.18,0.99,0.93,0.4776112
0.27,0.2,0.72,0.16,1,0.94,0.4776126
0.25,0.2,0.73,0.16,1,0.94,0.4776135
0.26,0.19,0.71,0.16,0.99,0.93,0.477616
0.28,0.15,0.71,0.18,1,0.93,0.4776176
0.29,0.19,0.7,0.16,0.99,0.93,0.4776185
0.3,0.2,0.71,0.18,0.99,0.93,0.4776224
0.29,0.19,0.72,0.17,1,0.94,0.4776232
0.3,0.19,0.7,0.16,0.99,0.93,0.4776259
0.28,0.2,0.72,0.16,1,0.94,0.4776262
0.25,0.15,0.71,0.17,1,0.93,0.4776352
0.26,0.2,0.73,0.18,1,0.94,0.4776379
0.26,0.2,0.73,0.17,1,0.94,0.4776404
0.29,0.2,0.72,0.16,1,0.94,0.4776417
0.25,0.2,0.72,0.16,0.99,0.93,0.4776418
0.26,0.19,0.72,0.16,0.99,0.93,0.477643
0.29,0.2,0.72,0.18,1,0.94,0.4776433
0.26,0.2,0.71,0.17,0.99,0.93,0.4776434
0.26,0.15,0.71,0.17,1,0.93,0.477645
0.26,0.19,0.72,0.16,1,0.94,0.4776499
0.26,0.2,0.72,0.16,0.99,0.93,0.4776522
0.3,0.2,0.71,0.17,1,0.94,0.4776523
0.29,0.19,0.71,0.16,1,0.94,0.4776535
0.28,0.18,0.71,0.16,0.99,0.93,0.4776536
0.27,0.2,0.71,0.17,0.99,0.93,0.4776554
0.27,0.15,0.71,0.17,1,0.93,0.4776565
0.26,0.2,0.72,0.17,1,0.94,0.4776568
0.3,0.2,0.72,0.16,1,0.94,0.4776595
0.29,0.2,0.71,0.17,1,0.94,0.4776609
0.28,0.2,0.72,0.17,0.99,0.93,0.4776612
0.25,0.19,0.72,0.17,0.99,0.93,0.4776629
0.25,0.18,0.72,0.16,0.99,0.93,0.4776635
0.27,0.2,0.72,0.16,0.99,0.93,0.4776645
0.27,0.2,0.73,0.18,1,0.94,0.4776689
0.28,0.2,0.71,0.17,0.99,0.93,0.4776695
0.28,0.15,0.71,0.17,1,0.93,0.4776702
0.28,0.19,0.71,0.17,0.99,0.93,0.4776709
0.27,0.19,0.72,0.17,0.99,0.93,0.4776761
0.3,0.17,0.71,0.16,0.99,0.93,0.4776761
0.25,0.2,0.72,0.18,0.99,0.93,0.4776832
0.27,0.2,0.71,0.16,1,0.94,0.4776835
0.29,0.2,0.71,0.17,0.99,0.93,0.4776857
0.28,0.18,0.72,0.16,1,0.94,0.477686
0.29,0.15,0.71,0.18,1,0.93,0.4776877
0.26,0.2,0.71,0.16,1,0.94,0.4776895
0.28,0.2,0.71,0.18,0.99,0.93,0.4776915
0.25,0.19,0.73,0.17,1,0.94,0.4776933
0.25,0.19,0.71,0.16,0.99,0.93,0.4776935
0.3,0.15,0.7,0.18,1,0.93,0.4776953
0.28,0.2,0.71,0.16,1,0.94,0.4776965
0.27,0.15,0.71,0.18,1,0.93,0.4776973
0.28,0.19,0.7,0.16,0.99,0.93,0.4777003
0.25,0.2,0.71,0.17,0.99,0.93,0.4777006
0.29,0.2,0.72,0.18,0.99,0.93,0.4777014
0.28,0.19,0.72,0.17,1,0.94,0.4777026
0.3,0.18,0.71,0.17,0.99,0.93,0.4777033
0.3,0.2,0.71,0.17,0.99,0.93,0.4777042
0.26,0.2,0.73,0.16,1,0.94,0.4777065
0.3,0.17,0.72,0.16,1,0.94,0.4777073
0.28,0.19,0.72,0.18,0.99,0.93,0.4777108
0.29,0.2,0.71,0.16,1,0.94,0.4777116
0.25,0.2,0.71,0.16,0.99,0.93,0.4777123
0.25,0.2,0.73,0.18,1,0.94,0.4777127
0.25,0.15,0.71,0.16,1,0.93,0.4777144
0.26,0.2,0.71,0.16,0.99,0.93,0.4777221
0.28,0.2,0.72,0.18,1,0.94,0.4777225
0.26,0.15,0.71,0.16,1,0.93,0.4777239
0.25,0.19,0.72,0.16,1,0.94,0.4777261
0.28,0.2,0.72,0.16,0.99,0.93,0.4777281
0.3,0.2,0.71,0.16,1,0.94,0.4777289
0.27,0.15,0.7,0.17,1,0.93,0.4777293
0.25,0.16,0.71,0.18,1,0.93,0.4777309
0.3,0.18,0.7,0.16,0.99,0.93,0.4777317
0.25,0.19,0.73,0.16,1,0.94,0.4777326
0.25,0.2,0.72,0.17,1,0.94,0.4777327
0.27,0.18,0.71,0.16,0.99,0.93,0.4777336
0.27,0.2,0.71,0.16,0.99,0.93,0.4777337
0.3,0.18,0.72,0.17,1,0.94,0.4777337
0.3,0.19,0.71,0.18,0.99,0.93,0.4777337
0.27,0.19,0.72,0.18,0.99,0.93,0.4777341
