slope, srtm, tpi, twi, coarse, stream, hdist
0.28,0.21,0.73,0.1,1,0.95,0.4771415
0.3,0.2,0.71,0.1,0.98,0.93,0.4771494
0.29,0.2,0.71,0.1,0.98,0.93,0.4771573
0.3,0.21,0.72,0.12,0.99,0.94,0.4771968
0.29,0.21,0.72,0.11,0.99,0.94,0.4771972
0.29,0.21,0.73,0.11,1,0.95,0.4772075
0.3,0.21,0.72,0.1,1,0.95,0.4772094
0.28,0.21,0.72,0.11,0.99,0.94,0.4772103
0.29,0.2,0.72,0.1,0.99,0.94,0.4772103
0.3,0.2,0.71,0.11,0.98,0.93,0.4772117
0.3,0.21,0.72,0.11,0.99,0.94,0.4772163
0.28,0.21,0.72,0.1,0.99,0.94,0.4772305
0.28,0.2,0.71,0.1,0.98,0.93,0.4772383
0.29,0.21,0.72,0.1,0.99,0.94,0.4772473
0.29,0.21,0.73,0.1,1,0.95,0.47725
0.28,0.21,0.73,0.11,1,0.95,0.4772619
0.29,0.21,0.71,0.12,0.98,0.93,0.4772657
0.3,0.21,0.72,0.1,0.99,0.94,0.4772663
0.3,0.2,0.72,0.11,0.99,0.94,0.4772668
0.3,0.21,0.73,0.12,1,0.95,0.4772748
0.29,0.21,0.72,0.12,0.99,0.94,0.4772771
0.3,0.19,0.71,0.1,0.98,0.93,0.4772827
0.3,0.21,0.71,0.12,0.98,0.93,0.4772855
0.3,0.21,0.71,0.11,0.99,0.94,0.4772888
0.29,0.21,0.72,0.1,1,0.95,0.4772897
0.28,0.2,0.72,0.1,0.99,0.94,0.4772901
0.29,0.2,0.71,0.11,0.98,0.93,0.4772937
0.28,0.21,0.71,0.11,0.98,0.93,0.477304
0.3,0.21,0.71,0.13,0.98,0.93,0.4773066
0.28,0.21,0.71,0.12,0.98,0.93,0.4773067
0.3,0.2,0.72,0.1,0.99,0.94,0.4773101
0.29,0.21,0.71,0.1,0.99,0.94,0.4773152
0.28,0.21,0.71,0.1,0.99,0.94,0.4773169
0.3,0.21,0.73,0.11,1,0.95,0.477321
0.29,0.21,0.71,0.11,0.98,0.93,0.4773214
0.29,0.21,0.73,0.12,1,0.95,0.4773267
0.3,0.21,0.71,0.1,0.99,0.94,0.4773336
0.28,0.2,0.73,0.1,1,0.95,0.4773405
0.3,0.21,0.72,0.11,1,0.95,0.4773405
0.3,0.21,0.71,0.11,0.98,0.93,0.4773411
0.29,0.2,0.72,0.11,0.99,0.94,0.4773438
0.28,0.21,0.71,0.1,0.98,0.93,0.4773554
0.3,0.21,0.72,0.13,0.99,0.94,0.4773554
0.28,0.21,0.72,0.12,0.99,0.94,0.4773566
0.3,0.2,0.71,0.12,0.98,0.93,0.4773609
0.3,0.21,0.73,0.1,1,0.95,0.4773634
0.29,0.19,0.71,0.1,0.98,0.93,0.4773652
0.3,0.2,0.71,0.1,0.99,0.94,0.4773685
0.28,0.21,0.72,0.1,1,0.95,0.4773692
0.29,0.21,0.71,0.11,0.99,0.94,0.4773704
0.29,0.21,0.71,0.1,0.98,0.93,0.4773727
0.29,0.2,0.73,0.1,1,0.95,0.4773729
0.28,0.2,0.71,0.11,0.98,0.93,0.4773748
0.29,0.21,0.71,0.13,0.98,0.93,0.4773882
0.3,0.21,0.71,0.1,0.98,0.93,0.4773921
0.29,0.2,0.73,0.11,1,0.95,0.4773924
0.29,0.18,0.71,0.15,0.99,0.93,0.4773952
0.3,0.21,0.73,0.13,1,0.95,0.4774029
0.28,0.21,0.73,0.12,1,0.95,0.4774051
0.3,0.2,0.72,0.12,0.99,0.94,0.4774089
0.28,0.18,0.72,0.14,1,0.94,0.4774107
0.29,0.19,0.72,0.1,0.99,0.94,0.4774141
0.3,0.18,0.71,0.15,0.99,0.93,0.4774144
0.3,0.19,0.71,0.11,0.98,0.93,0.4774189
0.3,0.2,0.72,0.1,1,0.95,0.4774189
0.29,0.19,0.72,0.16,1,0.94,0.4774196
0.29,0.21,0.72,0.11,1,0.95,0.4774208
0.28,0.2,0.72,0.11,0.99,0.94,0.4774238
0.3,0.19,0.72,0.1,0.99,0.94,0.4774299
0.3,0.18,0.71,0.14,1,0.94,0.4774344
0.3,0.21,0.71,0.12,0.99,0.94,0.4774352
0.29,0.21,0.72,0.13,0.99,0.94,0.4774358
0.28,0.21,0.72,0.14,0.98,0.93,0.477437
0.3,0.19,0.72,0.16,1,0.94,0.477438
0.29,0.2,0.71,0.12,0.98,0.93,0.477443
0.3,0.2,0.73,0.11,1,0.95,0.4774435
0.28,0.19,0.71,0.1,0.98,0.93,0.4774467
0.3,0.21,0.71,0.1,1,0.95,0.4774477
0.28,0.18,0.71,0.14,0.99,0.93,0.4774478
0.29,0.2,0.71,0.1,0.99,0.94,0.4774505
0.28,0.21,0.71,0.11,0.99,0.94,0.4774511
0.28,0.18,0.71,0.15,0.99,0.93,0.4774532
0.3,0.2,0.73,0.12,1,0.95,0.4774557
0.29,0.18,0.72,0.15,1,0.94,0.4774614
0.29,0.18,0.71,0.14,0.99,0.93,0.4774645
0.28,0.18,0.71,0.13,1,0.94,0.4774652
0.29,0.18,0.71,0.14,1,0.94,0.4774654
0.28,0.18,0.72,0.13,1,0.94,0.4774659
0.3,0.19,0.72,0.11,0.99,0.94,0.4774661
0.28,0.21,0.71,0.13,0.98,0.93,0.477469
0.28,0.2,0.73,0.11,1,0.95,0.4774712
0.28,0.19,0.72,0.15,1,0.94,0.4774758
0.3,0.18,0.71,0.1,0.98,0.93,0.4774805
