id	slope	elevation	tpi	twi	coarse	stream
100	1.88425	219.9161	34.61619	1.513951	5.892779	71.6908
101	3.092438	578.9571	28.51348	0.210191	10.81046	31.1505
102	4.253788	512.8856	20.00254	0.452778	13.70899	74.6211
103	5.20153	500.3636	15.42299	0.069954	13.54	78.5588
104	5.563664	541.897	16.93245	-0.09697	14.00599	55.5414
105	2.779595	477.8139	31.22169	0.918045	11.31915	53.5203
106	3.912908	543.3012	23.22858	0.180592	13.55172	47.0959
107	4.662558	525.9673	20.40085	-0.11754	12.78808	46.9263
108	5.586787	535.5023	20.84247	-0.40738	12.65574	31.2961
109	7.860063	539.9247	12.08986	-0.41515	14.92899	34.9197
110	4.85341	611.3818	20.08333	-0.18209	14.81633	32.8888
111	3.710512	579.1024	21.51105	-0.04515	14.2563	36.6791
112	3.828235	521.6481	13.55631	0.899234	13.33333	79.2887
113	4.882686	550.8286	17.42247	-0.0599	13.67606	60.7909
114	5.154667	572.9753	18.89937	0.284311	14.03604	51.7187
115	4.867973	558.3485	22.39382	0.226822	12.08308	57.6661
116	6.9679	537.3776	14.73402	0.273327	13.5	87.0747
117	4.505018	584.165	18.43167	-0.03854	13.66667	43.1438
118	4.489578	577.3944	24.22719	-0.69248	12.70732	51.5347
119	6.841301	577.6433	17.25104	-0.22856	15.03333	32.88
120	8.610708	531.635	8.061721	-0.94197	14.53947	46.835
121	5.410935	578.0549	14.50165	0.017712	14.00552	43.6238
122	3.433851	533.2123	28.71194	1.746178	13.01	80.3133
123	8.092518	674.3699	9.599299	-0.73324	16.12717	37.3849
124	2.901985	525.8125	35.31669	2.718696	12.18182	100
125	6.239117	588.6667	17.86909	0.060247	14.42975	91.7577
126	3.390692	622.0103	22.16427	0.490741	13.44361	49.5074
127	4.662385	605.4578	19.09244	0.027482	13.68116	41.5549
128	4.880107	611.3513	18.73527	-0.11981	15.12302	42.3098
129	2.626637	361.6163	28.19562	1.03031	8.623529	68.9723
130	2.564967	399.1994	30.77407	1.365735	10.15406	68.2397
131	4.239221	556.6646	23.17326	-0.01177	14.17582	62.6858
132	4.538585	542.7788	23.73354	0.559092	13.45652	81.2185
133	4.473021	532.6332	20.30066	0.30568	13.74914	71.0468
134	3.473927	580.2079	24.44282	0.417359	12.9171	56.9534
135	3.650159	550.2953	27.00404	0.872643	11.7439	52.8512
136	4.428542	585.4417	21.588	0.727165	13.4527	80.4183
137	4.458204	580.9179	23.11089	-0.3159	12.93243	36.3425
138	4.690768	576.8276	16.39995	0.215573	13.09091	73.8722
139	4.05552	627.6955	27.61949	0.72069	12.80488	77.1402
140	3.867773	637.7798	25.12795	0.548163	13.80402	55.2842
141	5.402241	605.0592	22.38883	0.444441	12.15294	72.2651
142	3.737383	618.149	21.85156	0.109471	11.85185	34.4358
143	4.295678	666.3915	20.55733	0.040605	13.85782	51.0728
144	6.042719	521.6453	17.26304	-0.39431	14.23009	58.7322
145	5.277929	591.6264	18.01342	-0.17432	15.04469	42.514
146	4.525203	679.8091	25.25788	0.074744	13.96528	36.8523
147	0.862857	231.0354	38.75368	1.913409	5.53668	49.3254
148	5.514043	528.6245	18.35792	0.000473	14.12609	60.8923
149	5.519804	602.8121	13.88641	0.188644	14.36364	63.1884
150	4.630601	628.0412	19.71065	-0.02393	13.93636	65.7668
151	4.606288	588.8272	20.84104	0.49596	15.22517	76.4295
152	4.678545	342.2913	23.51983	0.264524	9.547297	68.4867
153	4.46536	554.2801	21.10437	0.299097	13.62222	48.1124
154	6.845943	594.9281	12.24266	-0.0984	14.75	60.4972
